Random Access Memory,Daft Punk,2013
Brothers In Arms,Dire Straits,1985
The Final Cut,Pink Floyd,1983
Let It Bleed,The Rolling Stones,1969
Magical Mystery Tour,The Beatles,1967
Riding with the King,Eric Clapton,2000
Outlandos d'Amour,The Police,1978
My Sweet Little Angel,B.B King,1992
Speak and Spell,Depeche Mode,1981
Tommy,The Who,1969
The Miracle,Queen,1989
Strange Days,The Doors,1987
Fluorescent adolescent ,Arctic Monkeys,2007
The Akron Session ,The Black Keys,2010
Tetra,C2C,2012
Heroes,David Bowie,1977
Stachelight,Deluxe,2016
Curtain Call,Eminem,2005
Gorillaz,Gorillaz,2001
Appetite for destruction,Gun's N Roses,1987
Silver,Johnny Cash,1979
D.A.N.C.E,Justice,2007
The Resistance,Muse,2009
The Masterplan,Oasis,1998
Stadium Arcadium,Red Hot Chili Peppers,2006
Les Champs-Élysées,Joe Dassin,1969
Rolling Papers,Wiz Khalifa,2011
Les Copains D'abord,Georges Brassens,1989
Oh Mercy,Bob Dylan,1989
